Sample_ID,TC,IC,OC,N,Community,Core_ID,Core_Depth,Latitude_N,Longitude_W,Pre_Dried_Weight,Post_Dried_Weight,Additional_Comments
A1AD.001,45.8,0.375,45.4,2.2,Attawapiskat,AT-01,138.5,,,10.16038,0.018774459,
A1AD.002,46,0.309,45.7,2.06,Attawapiskat,AT-01,138.5,,,11.70545,0.016763734,
A1AD.003,39.1,0.626,38.5,1.78,Attawapiskat,AT-01,138.5,,,9.05797,0.01457519,
A1AD.004,12.4,2.56,9.83,0.62,Attawapiskat,AT-01,138.5,,,12.71738,0.070555085,
A1AD.005,13.3,3.3,10,0.73,Attawapiskat,AT-01,138.5,,,15.9087,0.089650285,
A1AD.006,14.5,4.85,9.62,0.62,Attawapiskat,AT-01,138.5,,,14.36876,0.087367189,
A1AD.007,5.17,3.9,1.27,0.1,Attawapiskat,AT-01,138.5,,,20.85101,0.24998678,
A1AD.008,4.36,3.92,0.44,0.03,Attawapiskat,AT-01,138.5,,,24.70444,0.349494405,
A1AD.009,4.33,3.87,0.465,0.02,Attawapiskat,AT-01,138.5,,,22.98843,0.332240813,
A1AD.010,3.7,3.49,0.212,0.02,Attawapiskat,AT-01,138.5,,,17.82144,0.260687564,
A1BD.001,47.6,0.637,46.9,2.1,Attawapiskat,AT-01,101.2,,,9.52462,0.016259343,
A1BD.002,48.5,0.4,48.1,2.41,Attawapiskat,AT-01,101.2,,,12.20352,0.021793795,
A1BD.003,47.1,0.451,46.7,2.39,Attawapiskat,AT-01,101.2,,,8.33184,0.015390423,
A1BD.004,45.3,0.427,44.8,2.29,Attawapiskat,AT-01,101.2,,,12.87227,0.02260595,
A1BD.005,37.2,0.377,36.8,2,Attawapiskat,AT-01,101.2,,,10.78677,0.020827074,
A1BD.006,39.5,0.348,39.2,1.73,Attawapiskat,AT-01,101.2,,,9.60697,0.017010116,
A1BD.007,36,0.318,35.7,1.66,Attawapiskat,AT-01,101.2,,,12.46639,0.021248027,
A1BD.008,38.1,0.455,37.6,1.87,Attawapiskat,AT-01,101.2,,,9.50733,0.016585744,
A1BD.009,41,0.443,40.6,1.93,Attawapiskat,AT-01,101.2,,,8.54626,0.014223655,
A1BD.010,17.9,2.45,15.4,0.86,Attawapiskat,AT-01,101.2,,,12.84937,0.052636193,
A1CD.002,47.5,0.35,47.2,1.65,Attawapiskat,AT-01,62,,,7.20681,0.011658784,
A1CD.003,46.2,0.334,45.8,1.68,Attawapiskat,AT-01,62,,,7.86954,0.011813008,
A1CD.004,48.3,0.315,47.9,1.91,Attawapiskat,AT-01,62,,,7.36516,0.011671608,
A1CD.005,48.5,0.31,48.2,2.24,Attawapiskat,AT-01,62,,,9.59508,0.014998024,
A1CD.006,47.9,0.291,47.6,2.35,Attawapiskat,AT-01,62,,,11.92475,0.01931544,
A1CD.007,47.7,0.348,47.3,2.33,Attawapiskat,AT-01,62,,,11.37522,0.020163671,
A1CD.008,47.9,0.354,47.5,2.5,Attawapiskat,AT-01,62,,,11.53745,0.020776464,
A1CD.009,47.7,0.374,47.3,2.62,Attawapiskat,AT-01,62,,,13.19302,0.024810053,
A1CD.010,47.5,0.433,47.1,2.59,Attawapiskat,AT-01,62,,,11.7951,0.021425333,
A2AD.001,32.4,0.294,32.1,1.59,Attawapiskat,AT-02,114,,,12.45541,0.034696287,
A2AD.002,42.8,0.409,42.4,2.01,Attawapiskat,AT-02,114,,,13.3341,0.028260258,
A2AD.003,39.1,0.321,38.8,2.01,Attawapiskat,AT-02,114,,,15.66075,0.03984176,
A2AD.004,34.5,0.492,34,1.52,Attawapiskat,AT-02,114,,,11.96527,0.025361292,
