; Number of ROIs: 1
; File Dimension: 2400 x 2400
;
; ROI name: ImportROI
; ROI rgb value: {0, 0, 255}
; ROI npts: 12208
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1
;
  91,  1677,  -5517591.1411,  5894727.6924,  53.01250000,  -82.47584855,  0.092057
  92,  1677,  -5517127.8284,  5894727.6924,  53.01250000,  -82.46892304,  0.077129
  90,  1677,  -5518054.4538,  5894727.6924,  53.01250000,  -82.48277405,  0.092057
  89,  1678,  -5518517.7665,  5894264.3797,  53.00833333,  -82.48173623,  0.073714
  90,  1678,  -5518054.4538,  5894264.3797,  53.00833333,  -82.47481139,  0.073714
  91,  1678,  -5517591.1411,  5894264.3797,  53.00833333,  -82.46788655,  0.077129
  92,  1678,  -5517127.8284,  5894264.3797,  53.00833333,  -82.46096172,  0.077700
  93,  1678,  -5516664.5157,  5894264.3797,  53.00833333,  -82.45403688,  0.077700
  94,  1678,  -5516201.2029,  5894264.3797,  53.00833333,  -82.44711204,  0.092957
  95,  1678,  -5515737.8902,  5894264.3797,  53.00833333,  -82.44018721,  0.069000
  96,  1678,  -5515274.5775,  5894264.3797,  53.00833333,  -82.43326237,  0.073557
  87,  1679,  -5519444.3920,  5893801.0669,  53.00416666,  -82.48762321,  0.083943
  88,  1679,  -5518981.0792,  5893801.0669,  53.00416666,  -82.48069904,  0.083943
  89,  1679,  -5518517.7665,  5893801.0669,  53.00416666,  -82.47377487,  0.081929
  90,  1679,  -5518054.4538,  5893801.0669,  53.00416666,  -82.46685070,  0.081929
  91,  1679,  -5517591.1411,  5893801.0669,  53.00416666,  -82.45992653,  0.103771
  92,  1679,  -5517127.8284,  5893801.0669,  53.00416666,  -82.45300236,  0.103771
  93,  1679,  -5516664.5157,  5893801.0669,  53.00416666,  -82.44607820,  0.092957
  94,  1679,  -5516201.2029,  5893801.0669,  53.00416666,  -82.43915403,  0.092957
  95,  1679,  -5515737.8902,  5893801.0669,  53.00416666,  -82.43222986,  0.089943
  96,  1679,  -5515274.5775,  5893801.0669,  53.00416666,  -82.42530569,  0.099514
  97,  1679,  -5514811.2648,  5893801.0669,  53.00416666,  -82.41838152,  0.080300
  98,  1679,  -5514347.9521,  5893801.0669,  53.00416666,  -82.41145735,  0.098100
  99,  1679,  -5513884.6394,  5893801.0669,  53.00416666,  -82.40453318,  0.098100
 100,  1679,  -5513421.3266,  5893801.0669,  53.00416666,  -82.39760901,  0.127229
  86,  1680,  -5519907.7047,  5893337.7542,  53.00000000,  -82.48658599,  0.078071
  87,  1680,  -5519444.3920,  5893337.7542,  53.00000000,  -82.47966249,  0.083943
  88,  1680,  -5518981.0792,  5893337.7542,  53.00000000,  -82.47273899,  0.100386
  89,  1680,  -5518517.7665,  5893337.7542,  53.00000000,  -82.46581549,  0.115300
  90,  1680,  -5518054.4538,  5893337.7542,  53.00000000,  -82.45889199,  0.115300
  91,  1680,  -5517591.1411,  5893337.7542,  53.00000000,  -82.45196849,  0.108614
  92,  1680,  -5517127.8284,  5893337.7542,  53.00000000,  -82.44504498,  0.108614
  93,  1680,  -5516664.5157,  5893337.7542,  53.00000000,  -82.43812148,  0.093586
  94,  1680,  -5516201.2029,  5893337.7542,  53.00000000,  -82.43119798,  0.093586
  95,  1680,  -5515737.8902,  5893337.7542,  53.00000000,  -82.42427448,  0.099514
  96,  1680,  -5515274.5775,  5893337.7542,  53.00000000,  -82.41735098,  0.099514
  97,  1680,  -5514811.2648,  5893337.7542,  53.00000000,  -82.41042748,  0.114129
  98,  1680,  -5514347.9521,  5893337.7542,  53.00000000,  -82.40350398,  0.119571
  99,  1680,  -5513884.6394,  5893337.7542,  53.00000000,  -82.39658048,  0.127229
 100,  1680,  -5513421.3266,  5893337.7542,  53.00000000,  -82.38965698,  0.123214
 101,  1680,  -5512958.0139,  5893337.7542,  53.00000000,  -82.38273348,  0.123214
 102,  1680,  -5512494.7012,  5893337.7542,  53.00000000,  -82.37580998,  0.095657
 103,  1680,  -5512031.3885,  5893337.7542,  53.00000000,  -82.36888648,  0.099986
 104,  1680,  -5511568.0758,  5893337.7542,  53.00000000,  -82.36196298,  0.109614
  85,  1681,  -5520371.0174,  5892874.4415,  52.99583333,  -82.48554940,  0.078071
  86,  1681,  -5519907.7047,  5892874.4415,  52.99583333,  -82.47862657,  0.099529
  87,  1681,  -5519444.3920,  5892874.4415,  52.99583333,  -82.47170374,  0.099529
  88,  1681,  -5518981.0792,  5892874.4415,  52.99583333,  -82.46478091,  0.115300
  89,  1681,  -5518517.7665,  5892874.4415,  52.99583333,  -82.45785807,  0.115300
  90,  1681,  -5518054.4538,  5892874.4415,  52.99583333,  -82.45093524,  0.114214
  91,  1681,  -5517591.1411,  5892874.4415,  52.99583333,  -82.44401241,  0.114214
  92,  1681,  -5517127.8284,  5892874.4415,  52.99583333,  -82.43708958,  0.093586
  93,  1681,  -5516664.5157,  5892874.4415,  52.99583333,  -82.43016674,  0.103086
  94,  1681,  -5516201.2029,  5892874.4415,  52.99583333,  -82.42324391,  0.103086
  95,  1681,  -5515737.8902,  5892874.4415,  52.99583333,  -82.41632108,  0.111071
  96,  1681,  -5515274.5775,  5892874.4415,  52.99583333,  -82.40939825,  0.114129
  97,  1681,  -5514811.2648,  5892874.4415,  52.99583333,  -82.40247541,  0.119571
  98,  1681,  -5514347.9521,  5892874.4415,  52.99583333,  -82.39555258,  0.119571
  99,  1681,  -5513884.6394,  5892874.4415,  52.99583333,  -82.38862975,  0.122700
 100,  1681,  -5513421.3266,  5892874.4415,  52.99583333,  -82.38170692,  0.123214
 101,  1681,  -5512958.0139,  5892874.4415,  52.99583333,  -82.37478408,  0.095657
 102,  1681,  -5512494.7012,  5892874.4415,  52.99583333,  -82.36786125,  0.095657
 103,  1681,  -5512031.3885,  5892874.4415,  52.99583333,  -82.36093842,  0.106086
 104,  1681,  -5511568.0758,  5892874.4415,  52.99583333,  -82.35401559,  0.109614
 105,  1681,  -5511104.7631,  5892874.4415,  52.99583333,  -82.34709275,  0.108986
 106,  1681,  -5510641.4503,  5892874.4415,  52.99583333,  -82.34016992,  0.100171
 107,  1681,  -5510178.1376,  5892874.4415,  52.99583333,  -82.33324709,  0.100171
  84,  1682,  -5520834.3301,  5892411.1288,  52.99166666,  -82.48451346,  0.095757
  85,  1682,  -5520371.0174,  5892411.1288,  52.99166666,  -82.47759129,  0.099886
  86,  1682,  -5519907.7047,  5892411.1288,  52.99166666,  -82.47066913,  0.099529
  87,  1682,  -5519444.3920,  5892411.1288,  52.99166666,  -82.46374696,  0.115186
  88,  1682,  -5518981.0792,  5892411.1288,  52.99166666,  -82.45682480,  0.116571
  89,  1682,  -5518517.7665,  5892411.1288,  52.99166666,  -82.44990263,  0.116571
  90,  1682,  -5518054.4538,  5892411.1288,  52.99166666,  -82.44298047,  0.096800
  91,  1682,  -5517591.1411,  5892411.1288,  52.99166666,  -82.43605830,  0.096800
