"Sample_ID","Reflectance","Organic_Carbon","Predicted_Organic_Carbon"
"A1AD.001",0.886861156183312,45.4,44.2480660218457
"A1AD.002",0.863515292457145,45.7,53.439298547488
"A1AD.003",0.88305939412908,38.5,45.7448142020573
"A1AD.006",0.95655984388728,9.62,16.807794248938
"A1AD.008",0.989595303840574,0.44,3.80178180991446
"A1AD.009",0.989185875564836,0.465,3.96297312538808
"A1AD.010",0.985346027736581,0.212,5.47471561932755
"A1BD.001",0.887672377893995,46.9,43.9286892165928
"A1BD.002",0.883695337229514,48.1,45.494444330215
"A1BD.005",0.893820099125599,36.8,41.508340327159
"A1BD.007",0.915846401461287,35.7,32.8366171978709
"A1BD.008",0.90326948894046,37.6,37.7881293282199
"A1BD.009",0.885099774827782,40.6,44.9415192945493
"A1BD.010",0.944962899791145,15.4,21.3734942386531
"A1CD.002",0.93637885482879,47.2,24.7530202302802
"A1CD.003",0.918036395766304,45.8,31.9744196315979
"A1CD.005",0.896785628861099,48.2,40.3408155921396
"A1CD.008",0.900497016015378,47.5,38.8796478783307
"A1CD.009",0.879767819064008,47.3,47.0407025081631
"A1CD.010",0.880553166288894,47.1,46.7315124502599
"A2AD.001",0.910829696509686,32.1,34.8116866261664
"A2AD.002",0.869168300502291,42.4,51.2137175185869
"A2AD.004",0.886164463091235,34,44.522353076863
"A2AD.006",0.955321652021883,8.08,17.2952685818522
"A2AD.007",0.98828545045947,2.21,4.31746917712601
"A2AD.008",0.989308559402163,2.68,3.91467267742683
"A2AD.009",0.986583126317968,1.42,4.98767171073499
"A2BD.001",0.933232552266152,47.6,25.9917149638925
"A2BD.003",0.892517346656871,46.2,42.0212320755165
"A2BD.005",0.897111135622467,42.6,40.2126640545699
"A2BD.006",0.894658154322678,38.3,41.1783992174177
"A2BD.007",0.882725515858596,39.1,45.8762615905658
"A2BD.008",0.873654765148456,41.9,49.4474029257901
"A2BD.009",0.868605165041711,31.8,51.4354231287258
"A2BD.010",0.918885367753135,11.1,31.6401805976412
